Hybridization REF	TCGA-01-0630-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-409-5p	4.835402683
hsa-miR-410	6.328288978
hsa-miR-411	5.636757953
hsa-miR-411*	4.638928416
hsa-miR-412	4.617455108
hsa-miR-421	4.650786818
hsa-miR-422a	5.380291383
hsa-miR-423-3p	5.213675035
hsa-miR-423-5p	7.90191723
hsa-miR-424	11.44469742
hsa-miR-424*	6.332117605
hsa-miR-425	7.235003798
hsa-miR-425*	5.09722968
hsa-miR-429	7.35527706
hsa-miR-431	4.859014484
hsa-miR-431*	5.345889586
hsa-miR-432	5.421825687
hsa-miR-432*	4.611139542
hsa-miR-433	4.729595876
hsa-miR-448	4.604177736
hsa-miR-449a	4.82157441
hsa-miR-449b	4.627068341
hsa-miR-450a	4.77237168
hsa-miR-450b-3p	4.6080631
hsa-miR-450b-5p	4.679742213
hsa-miR-451	12.40580281
hsa-miR-452	6.377715543
hsa-miR-452*	4.546837666
hsa-miR-453	4.580493525
hsa-miR-454	4.535288436
hsa-miR-454*	4.620269633
hsa-miR-455-3p	6.535878027
hsa-miR-455-5p	5.951518966
hsa-miR-483-3p	5.282595657
hsa-miR-483-5p	10.07352348
hsa-miR-484	5.68261135
hsa-miR-485-3p	4.734427448
hsa-miR-485-5p	4.769526832
hsa-miR-486-3p	4.610632266
hsa-miR-486-5p	9.098638999
hsa-miR-487a	4.791037941
hsa-miR-487b	6.617591225
hsa-miR-488	5.962599818
hsa-miR-488*	4.64929276
hsa-miR-489	4.741779718
hsa-miR-490-3p	5.201295002
hsa-miR-490-5p	5.123316544
hsa-miR-491-3p	4.574268495
hsa-miR-491-5p	4.881213568
hsa-miR-492	4.751324449
hsa-miR-493	5.216656125
hsa-miR-493*	5.007878059
hsa-miR-494	11.98034561
hsa-miR-495	5.285982062
hsa-miR-496	4.620214921
hsa-miR-497	10.86806858
hsa-miR-497*	4.610246772
hsa-miR-498	5.806607403
hsa-miR-499-3p	4.549735414
hsa-miR-499-5p	4.667190694
hsa-miR-500	6.742487289
hsa-miR-500*	6.566179508
hsa-miR-501-3p	5.557083108
hsa-miR-501-5p	5.79078585
hsa-miR-502-3p	6.926699301
hsa-miR-502-5p	4.850961869
hsa-miR-503	8.306461892
hsa-miR-504	4.65365901
hsa-miR-505	5.291525611
hsa-miR-505*	4.735662367
hsa-miR-506	4.711520744
